Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 2 days ago,Computer Operator/ Data Entry Operator,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 48,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Active 2 days ago,Admin and Account Officer,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,Full-time,"Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Today,Required Admin/supervisor Females Staff,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 35,000 - Rs 50,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Supporting day-to-day financial tasks under supervision.,Finance Intern,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 35,000 - Rs 50,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Today,Female Management Staff,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 35,000 - Rs 42,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Posted 2 days ago,"Monitoring, Learning & Evaluation Officer",https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 35,000 - Rs 42,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Active 2 days ago,Claims Processor-Medical Biller (Male),https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 50,000 - Rs 60,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Active 2 days ago,Data Entry Executive - (Female Candidates),https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 25,000 - Rs 30,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Posted 2 days ago,Accountability Officer (Female),https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 25,000 - Rs 30,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
,Customer service representative,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 35,000 - Rs 45,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Active 2 days ago,Data Entry Operator,https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 15,000 - Rs 20,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
Today,receptionist (Female),https://pk.indeed.com/cmp/Bakar-Electronics?campaignid=mobvjcmp&from=mobviewjob&tk=1hs116t2djkbc806&fromjk=717580e31489a496,Lahore,"Rs 45,000 - Rs 65,000 a month","Rs 20,000 - Rs 35,000 a month",No experience required,No specific education required,"Company Description
BIN BAKAR Electronics is one of the biggest retail chains in the electronics market in Lahore, offering a world-class shopping experience both in-store and online. With a focus on customer satisfaction, BIN BAKAR provides a wide range of electronic appliances and innovative products across various categories. With multiple aesthetically-designed showrooms conveniently located in Lahore, BIN BAKAR has become a trusted name in the industry.
Role Description
This is a full-time on-site role for a Computer Operator at BIN BAKAR Electronics in Lahore. The Computer Operator will be responsible for day-to-day computer operations and back-office tasks. This includes ensuring smooth and efficient operation of computer systems, maintaining communication channels, and performing computer-related duties such as typing and data entry.
Requirement:
Qualification: B.com /BBA / Equivalent
Ms Office skills ( Especially Excel)
Excellent Typing Speed
Computer Operations and Computer Literacy skills
Effective communication skills
Experience in back office operations
Proficient typing skills
Detail-oriented and organized
Ability to multi-task and prioritize tasks
Experience in the electronics industry is a plus
Job location: DHA Lahore
Salary & other benefits
Market competitive salary with other benefits
Other Perks & Benefits:
Annual Increment
Mobile Allowance
Medical
Casual, sick, Annual & wedding Leaves
Leave Encashment
Interest Free Loans
Refreshment
Eid Bonus
Trips
For more details, please contact +92 308 4444139.
Job Type: Full-time
Pay: Rs20,000.00 - Rs35,000.00 per month"
